Reference,Quantity,Value,Description,Manufacturer,Part Number,Supplier,Supplier P/N,Price (1),Price (10),Price (100),Notes
,,,,,,Component Subtotal:,$17.84,$16.08,$14.49,
,,,,,,PCB:,$8.00,$5.50,$3.50,
,,,,,,Module Total:,$25.84,$21.58,$17.99,Per module at quantity shown

External Components (Not Included on PCB):
IND_20HZ,1,TBD,"Hand-wound inductor for 20Hz boost, see inductor design doc",Custom,Hand-wound,N/A,N/A,TBD,TBD,TBD,Requires custom winding
IND_30HZ,1,TBD,"Hand-wound inductor for 30Hz boost, see inductor design doc",Custom,Hand-wound,N/A,N/A,TBD,TBD,TBD,Requires custom winding
IND_60HZ,1,TBD,"Hand-wound inductor for 60Hz boost, see inductor design doc",Custom,Hand-wound,N/A,N/A,TBD,TBD,TBD,Requires custom winding
IND_100HZ,1,TBD,"Hand-wound inductor for 100Hz boost, see inductor design doc",Custom,Hand-wound,N/A,N/A,TBD,TBD,TBD,Requires custom winding

Alternative Suppliers:
R2,1,56kΩ,"Metal film resistor, 1/4W, 1%",Vishay,MRS25000C5602FCT00,Digikey,MRS25000C5602FCT00-ND,$0.24,$0.22,$0.20,Same part via Digikey
